,area,building_floors,district,flat_floor,neighborhood,price,rooms_count,warming_type
0,80,16,Beylikdüzü,14,Cumhuriyet,349000,2.0,Kombi
1,115,9,Kadıköy,6,Kozyatağı,1325000,4.0,Kombi
2,405,3,Beylikdüzü,3,Adnan Kahveci,4900000,9.0,Kombi
3,100,7,Esenyurt,-1,Cumhuriyet,169999,3.0,Kombi
4,150,5,Beşiktaş,1,Bebek,11000000,4.0,Merkezi
5,100,6,Beşiktaş,4,Arnavutköy,3000000,3.0,Kombi
6,100,6,Beşiktaş,2,Arnavutköy,2500000,2.0,Kombi
7,110,4,Beşiktaş,0,Arnavutköy,1500000,3.0,Kombi
8,90,5,Beşiktaş,0,Arnavutköy,1100000,3.0,Kombi
9,200,3,Bakırköy,1,Şenlikköy,7000000,5.0,Kombi
10,170,3,Bakırköy,0,Şenlikköy,3500000,4.0,Kombi
11,200,3,Bakırköy,1,Şenlikköy,2900000,4.0,Kombi
12,280,6,Bakırköy,2,Şenlikköy,10250000,6.0,Merkezi (Pay Ölçer)
13,145,4,Beylikdüzü,4,Cumhuriyet,319000,4.0,Kombi
14,105,4,Beylikdüzü,0,Cumhuriyet,129000,3.0,Kombi
15,135,4,Beylikdüzü,-1,Cumhuriyet,229000,4.0,Kombi
17,115,4,Beylikdüzü,1,Cumhuriyet,269000,3.0,Kombi
18,145,6,Başakşehir,2,Bahçeşehir 2. Kısım,455000,4.0,Kombi
19,70,6,Kağıthane,-1,Harmantepe,320000,3.0,Kombi
20,100,5,Beylikdüzü,2,Cumhuriyet,195000,3.0,Kombi
21,145,12,Beylikdüzü,6,Cumhuriyet,775000,4.0,Kombi
22,110,5,Beylikdüzü,3,Cumhuriyet,410000,3.0,Kombi
23,120,15,Beylikdüzü,9,Cumhuriyet,229000,3.0,Kombi
24,80,15,Beylikdüzü,9,Cumhuriyet,285000,2.0,Kombi
25,90,4,Beylikdüzü,0,Cumhuriyet,139000,3.0,Kombi
26,100,5,Beylikdüzü,2,Yakuplu,309000,3.0,Kombi
27,70,5,Beylikdüzü,0,Yakuplu,244000,2.0,Kombi
28,100,5,Beylikdüzü,0,Yakuplu,239000,3.0,Kombi
29,95,4,Esenyurt,2,Talatpaşa,299900,3.0,Kombi
30,105,4,Esenyurt,3,Güzelyurt,199900,3.0,Kombi
31,105,6,Beylikdüzü,1,Cumhuriyet,149900,3.0,Kombi
32,155,4,Esenyurt,2,Güzelyurt,200000,4.0,Kombi
33,105,5,Beylikdüzü,5,Yakuplu,449000,3.0,Kombi
34,100,5,Esenyurt,2,Güzelyurt,259000,3.0,Kombi
35,50,4,Üsküdar,0,Bulgurlu,249000,2.0,Kombi
36,160,6,Şişli,6,Merkez,3500000,4.0,Kombi
37,105,5,Beylikdüzü,3,Yakuplu,399000,3.0,Kombi
38,135,15,Esenyurt,9,Cumhuriyet,589000,3.0,Kombi
39,85,12,Kadıköy,0,Göztepe,1430000,3.0,Merkezi (Pay Ölçer)
