,Brand,Avg Rating,Total Comment,Seller Rating,Notebook Type,Memory Speed,Bluetooth,Weight,Touch Screen,Screen Size,GPU Type,GPU,CPU Generation,CPU Type,OS,Max CPU Speed,Screen Resolution,Finger Print,RAM,RAM Type,HDD,SSD,Charging Time,CPU Speed,Price
0,Lenovo,4.7,15,10,Notebook,3200 MHz,Var,2 kg ve Altý,Yok,14 inç,Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Home,4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,3 Saat ve Altý,2.40 GHz,8.999 TL
1,Lenovo,4.4,237,"9,6",Notebook,2400 MHz,Var,2 kg ve Altý,Belirtilmemiþ,14 inç,Dahili Ekran Kartý,Onboard,4.Nesil,Intel Celeron,Yok (Free Dos),2.8 GHz,1366 x 768,Yok,4 GB,DDR4,Yok,128 GB,6 Saat ve Üstü,1.1 GHz,3.820 TL
2,HP,,,09,Notebook,3200 MHz,Var,1 - 2 kg,Yok,14 inç,Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Pro,4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,4 - 6 Saat,2.4 GHz,14.088 TL
3,Lenovo,,,"9,1",Notebook,2933 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Windows 10 Home,4.2 GHz,1920 x 1080,Yok,12 GB,DDR4,Yok,2 TB,,2.4 GHz,16.139 TL
4,Casper,4.6,40,10,Oyun Bilgisayarlarý,2933 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Yüksek Seviye Harici Ekran Kartý,GDDR6,10. Nesil,Intel Core i5,Windows 11 Home,4.5 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,250 GB,,2.5 GHz,12.499 TL
5,Lenovo,5.0,2,"9,8",Notebook,2666 MHz,Var,2 kg ve Altý,Yok,14 inç,Dahili Ekran Kartý,Onboard,11.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,,2.4 GHz,7.999 TL
6,Lenovo,4.7,267,10,Oyun Bilgisayarlarý,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Yüksek Seviye Harici Ekran Kartý,GDDR6,5.Nesil,AMD Ryzen 5,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,512 GB,6 Saat ve Üstü,3.3 GHz,13.998 TL
7,Lenovo,4.6,13,"9,6",Notebook,3200 MHz,Var,2 - 4 kg,Yok,14 inç,Harici Ekran Kartý,GDDR5,11.Nesil,Intel Core i5,Yok (Free Dos),4.2 GHz,1920 x 1080,Yok,8 GB,DDR4,Yok,256 GB,4 - 6 Saat,2.4 GHz,8.999 TL
8,Monster,4.7,268,"9,9",Oyun Bilgisayarlarý,3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Harici Ekran Kartý,GDDR6,11.Nesil,Intel Core i5,Yok (Free Dos),4.5 GHz,1920 x 1080,Yok,16 GB,DDR4,Yok,500 GB,,2.70 GHz,16.099 TL
9,HP,5.0,15,10,Notebook,2666 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Belirtilmemiþ,11.Nesil,Intel Core i3,Windows 10 Home,4.1 GHz,1920 x 1080,Yok,4 GB,DDR4,Yok,256 GB,,1.7 GHz,6.899 TL
10,Lenovo,4.7,146,"9,9",Notebook,Belirtilmemiþ,Var,1 - 2 kg,Yok,"15,6 inç",Dahili Ekran Kartý,Belirtilmemiþ,11.Nesil,Intel Core i5,Windows 10 Home,4.2 GHz,1920 x 1080,Yok,8 GB,Belirtilmemiþ,Yok,256 GB,6 Saat ve Üstü,2.4 GHz,11.682 TL
